T,node_id,D1,D2,Sigma_a1,Sigma_a2,nu_Sigma_f1,nu_Sigma_f2,kappa_Sigma_f1,kappa_Sigma_f2,Sigma_s12,inv_v1,inv_v2,beta_1,lambda_1,beta_2,lambda_2,beta_3,lambda_3,beta_4,lambda_4,beta_5,lambda_5,beta_6,lambda_6,beta_7,lambda_7,beta_8,lambda_8
900.0,25,1.0873656402698455,0.34143788965293403,0.008887762120160897,0.07454829579075817,0.005147574987009126,0.09129757564429433,391484.6822455412,7263231.987430003,0.019224907627284585,6.154404525585571e-08,2.5148637067500097e-06,0.00021743710518242954,0.01246670000000001,0.0010340833011165814,0.0282917,0.0006143034025305259,0.042524399999999955,0.0013311742164476485,0.13304200000000002,0.0022376908503640215,0.2924671999999997,0.0006565097811576667,0.6664876999999998,0.0005766093265777597,1.6347809999999992,0.00018131823670478072,3.5546000000000015
900.0,26,1.0862595625740918,0.33433850913159074,0.00905557063710101,0.07675870631975004,0.005491300276716047,0.09199665363847725,416232.2295987591,7318762.359899417,0.018266289949103523,5.997081945206272e-08,2.4815902181929308e-06,0.00021735322657629507,0.012466699999999995,0.001034064823486193,0.028291699999999975,0.000614391142219904,0.04252440000000002,0.0013315529901033259,0.13304200000000013,0.002238370386567062,0.29246720000000004,0.0006584015760950427,0.6664877000000003,0.0005778571139596541,1.6347809999999994,0.00018243783200126812,3.554599999999996
1200.0,0,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200.0,1,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200.0,2,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200.0,3,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200.0,4,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200.0,5,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200.0,6,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200.0,7,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200.0,8,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200.0,9,1.0930368483449737,0.31864933870567297,0.008917966413633818,0.07110286599690026,0.0051620662166997,0.0661742286431865,394005.9880412944,5264882.92368239,0.020867602413663987,6.081140997353588e-08,2.574522795531389e-06,0.00021703661684493525,0.0124667,0.0010410036983460236,0.02829170000000001,0.000615785696208607,0.042524400000000025,0.001341434058579991,0.13304199999999997,0.0022619441830837475,0.2924672,0.0006818180311057161,0.6664877000000002,0.0005921173075409661,1.6347810000000005,0.00019418422623825672,3.5545999999999998
1200.0,10,1.1130763234961472,0.30699839300226334,0.006738434142703081,0.05930027596634627,0.0042013547157104345,0.05047483524669943,316445.6543276304,4014963.7955262624,0.017423346476606306,5.6125438988228974e-08,2.556070909050309e-06,0.0002163178399392164,0.012466700000000002,0.0010447633418192944,0.028291700000000006,0.0006152121697320451,0.042524400000000004,0.0013466132198573378,0.13304199999999994,0.00227838037094698,0.29246719999999987,0.0006989410512192418,0.6664876999999999,0.0006020490190468855,1.6347810000000005,0.0002033908822115354,3.554600000000001
